iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,40,160,6,mouse_latency,150,1782859240377,1782859242037,1660
1,1,10,40,160,5,mouse_latency,150,1782859242037,1782859243439,1402
1,1,10,40,160,9,mouse_latency,150,1782859243439,1782859245917,2478
1,1,10,40,160,0,mouse_latency,150,1782859245917,1782859247685,1768
1,1,10,40,160,3,mouse_latency,150,1782859247685,1782859250167,2482
1,1,10,40,160,4,mouse_latency,150,1782859250167,1782859251364,1197
1,1,10,40,160,1,mouse_latency,150,1782859251364,1782859253375,2011
1,1,10,40,160,8,mouse_latency,150,1782859253375,1782859255491,2116
1,1,10,40,160,2,mouse_latency,150,1782859255491,1782859258664,3173
1,1,10,40,160,7,mouse_latency,150,1782859258664,1782859261386,2722
2,1,10,40,160,5,mouse_latency,150,1782859262631,1782859264348,1717
2,1,10,40,160,1,mouse_latency,150,1782859264348,1782859266698,2350
2,1,10,40,160,9,mouse_latency,150,1782859266698,1782859268391,1693
2,1,10,40,160,3,mouse_latency,150,1782859268391,1782859269795,1404
2,1,10,40,160,6,mouse_latency,150,1782859269795,1782859271414,1619
2,1,10,40,160,0,mouse_latency,150,1782859271414,1782859273719,2305
2,1,10,40,160,8,mouse_latency,150,1782859273719,1782859276093,2374
2,1,10,40,160,7,mouse_latency,150,1782859276093,1782859278290,2197
2,1,10,40,160,4,mouse_latency,150,1782859278290,1782859279874,1584
2,1,10,40,160,2,mouse_latency,150,1782859279874,1782859281261,1387
3,1,10,40,160,7,mouse_latency,150,1782859282369,1782859284282,1913
3,1,10,40,160,3,mouse_latency,150,1782859284282,1782859286718,2436
3,1,10,40,160,1,mouse_latency,150,1782859286718,1782859288456,1738
3,1,10,40,160,5,mouse_latency,150,1782859288456,1782859290471,2015
3,1,10,40,160,4,mouse_latency,150,1782859290471,1782859291993,1522
3,1,10,40,160,8,mouse_latency,150,1782859291993,1782859294573,2580
3,1,10,40,160,2,mouse_latency,150,1782859294573,1782859296557,1984
3,1,10,40,160,9,mouse_latency,150,1782859296557,1782859298443,1886
3,1,10,40,160,6,mouse_latency,150,1782859298443,1782859300352,1909
3,1,10,40,160,0,mouse_latency,150,1782859300352,1782859302441,2089
