iteration,pid,path_length,path_width,condition,latency_ms,error_count,t_start_ms,t_end_ms,duration_ms
1,2,250,60,mouse_latency,150,0,1782868326110,1782868327045,935
2,2,250,60,mouse_latency,150,0,1782868328229,1782868328804,575
3,2,250,60,mouse_latency,150,0,1782868329903,1782868330695,792
