iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,90,160,2,air_mouse,0,1782869679111,1782869681918,2807
1,2,10,90,160,8,air_mouse,0,1782869681918,1782869683854,1936
1,2,10,90,160,9,air_mouse,0,1782869683854,1782869685507,1653
1,2,10,90,160,3,air_mouse,0,1782869685507,1782869689362,3855
1,2,10,90,160,0,air_mouse,0,1782869689362,1782869692458,3096
1,2,10,90,160,5,air_mouse,0,1782869692458,1782869696247,3789
1,2,10,90,160,4,air_mouse,0,1782869696247,1782869697968,1721
1,2,10,90,160,1,air_mouse,0,1782869697968,1782869699862,1894
1,2,10,90,160,6,air_mouse,0,1782869699862,1782869702028,2166
1,2,10,90,160,7,air_mouse,0,1782869702028,1782869706169,4141
2,2,10,90,160,0,air_mouse,0,1782869707476,1782869709061,1585
2,2,10,90,160,7,air_mouse,0,1782869709061,1782869711397,2336
2,2,10,90,160,1,air_mouse,0,1782869711397,1782869715020,3623
2,2,10,90,160,2,air_mouse,0,1782869715020,1782869722790,7770
2,2,10,90,160,3,air_mouse,0,1782869722790,1782869725254,2464
2,2,10,90,160,4,air_mouse,0,1782869725254,1782869728190,2936
2,2,10,90,160,8,air_mouse,0,1782869728190,1782869731228,3038
2,2,10,90,160,9,air_mouse,0,1782869731228,1782869732612,1384
2,2,10,90,160,5,air_mouse,0,1782869732612,1782869734813,2201
2,2,10,90,160,6,air_mouse,0,1782869734813,1782869737711,2898
3,2,10,90,160,1,air_mouse,0,1782869740258,1782869744861,4603
3,2,10,90,160,3,air_mouse,0,1782869744861,1782869749316,4455
3,2,10,90,160,5,air_mouse,0,1782869749316,1782869751166,1850
3,2,10,90,160,4,air_mouse,0,1782869751166,1782869754058,2892
3,2,10,90,160,2,air_mouse,0,1782869754058,1782869756261,2203
3,2,10,90,160,7,air_mouse,0,1782869756261,1782869762426,6165
3,2,10,90,160,0,air_mouse,0,1782869762426,1782869765522,3096
3,2,10,90,160,8,air_mouse,0,1782869765522,1782869769096,3574
3,2,10,90,160,6,air_mouse,0,1782869769096,1782869771456,2360
3,2,10,90,160,9,air_mouse,0,1782869771456,1782869773659,2203
