iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,40,320,0,mouse_latency,150,1782859378274,1782859380901,2627
1,1,10,40,320,8,mouse_latency,150,1782859380901,1782859383287,2386
1,1,10,40,320,6,mouse_latency,150,1782859383287,1782859384679,1392
1,1,10,40,320,9,mouse_latency,150,1782859384679,1782859386308,1629
1,1,10,40,320,2,mouse_latency,150,1782859386308,1782859388969,2661
1,1,10,40,320,4,mouse_latency,150,1782859388969,1782859392091,3122
1,1,10,40,320,5,mouse_latency,150,1782859392091,1782859394449,2358
1,1,10,40,320,3,mouse_latency,150,1782859394449,1782859397109,2660
1,1,10,40,320,7,mouse_latency,150,1782859397109,1782859400557,3448
1,1,10,40,320,1,mouse_latency,150,1782859400557,1782859403027,2470
2,1,10,40,320,7,mouse_latency,150,1782859405820,1782859408254,2434
2,1,10,40,320,4,mouse_latency,150,1782859408254,1782859410549,2295
2,1,10,40,320,8,mouse_latency,150,1782859410549,1782859413151,2602
2,1,10,40,320,5,mouse_latency,150,1782859413151,1782859415466,2315
2,1,10,40,320,2,mouse_latency,150,1782859415466,1782859418205,2739
2,1,10,40,320,0,mouse_latency,150,1782859418205,1782859420338,2133
2,1,10,40,320,1,mouse_latency,150,1782859420338,1782859422660,2322
2,1,10,40,320,6,mouse_latency,150,1782859422660,1782859425027,2367
2,1,10,40,320,9,mouse_latency,150,1782859425027,1782859429140,4113
2,1,10,40,320,3,mouse_latency,150,1782859429140,1782859431797,2657
3,1,10,40,320,7,mouse_latency,150,1782859433793,1782859436626,2833
3,1,10,40,320,8,mouse_latency,150,1782859436626,1782859439235,2609
3,1,10,40,320,9,mouse_latency,150,1782859439235,1782859441300,2065
3,1,10,40,320,3,mouse_latency,150,1782859441300,1782859444230,2930
3,1,10,40,320,5,mouse_latency,150,1782859444230,1782859446994,2764
3,1,10,40,320,6,mouse_latency,150,1782859446994,1782859448808,1814
3,1,10,40,320,0,mouse_latency,150,1782859448808,1782859452155,3347
3,1,10,40,320,4,mouse_latency,150,1782859452155,1782859454581,2426
3,1,10,40,320,1,mouse_latency,150,1782859454581,1782859456881,2300
3,1,10,40,320,2,mouse_latency,150,1782859456881,1782859458361,1480
