iteration,pid,path_length,path_width,condition,latency_ms,error_count,t_start_ms,t_end_ms,duration_ms
1,2,250,60,air_mouse,0,1,1782870035315,1782870036413,1098
2,2,250,60,air_mouse,0,0,1782870038414,1782870039110,696
3,2,250,60,air_mouse,0,0,1782870040683,1782870041387,704
