iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,60,240,4,mouse,0,1782866719859,1782866720978,1119
1,2,10,60,240,8,mouse,0,1782866720978,1782866721998,1020
1,2,10,60,240,3,mouse,0,1782866721998,1782866722867,869
1,2,10,60,240,5,mouse,0,1782866722867,1782866723758,891
1,2,10,60,240,2,mouse,0,1782866723758,1782866724802,1044
1,2,10,60,240,1,mouse,0,1782866724802,1782866725642,840
1,2,10,60,240,6,mouse,0,1782866725642,1782866726433,791
1,2,10,60,240,7,mouse,0,1782866726433,1782866727401,968
1,2,10,60,240,9,mouse,0,1782866727401,1782866728317,916
1,2,10,60,240,0,mouse,0,1782866728317,1782866729178,861
2,2,10,60,240,8,mouse,0,1782866729876,1782866731141,1265
2,2,10,60,240,6,mouse,0,1782866731141,1782866732077,936
2,2,10,60,240,3,mouse,0,1782866732077,1782866733063,986
2,2,10,60,240,0,mouse,0,1782866733063,1782866733915,852
2,2,10,60,240,4,mouse,0,1782866733915,1782866734898,983
2,2,10,60,240,9,mouse,0,1782866734898,1782866735930,1032
2,2,10,60,240,7,mouse,0,1782866735930,1782866736788,858
2,2,10,60,240,2,mouse,0,1782866736788,1782866737763,975
2,2,10,60,240,5,mouse,0,1782866737763,1782866738641,878
2,2,10,60,240,1,mouse,0,1782866738641,1782866739551,910
3,2,10,60,240,4,mouse,0,1782866740286,1782866741243,957
3,2,10,60,240,2,mouse,0,1782866741243,1782866742267,1024
3,2,10,60,240,3,mouse,0,1782866742267,1782866743178,911
3,2,10,60,240,6,mouse,0,1782866743178,1782866744234,1056
3,2,10,60,240,5,mouse,0,1782866744234,1782866745099,865
3,2,10,60,240,9,mouse,0,1782866745099,1782866746553,1454
3,2,10,60,240,0,mouse,0,1782866746553,1782866747575,1022
3,2,10,60,240,8,mouse,0,1782866747575,1782866748563,988
3,2,10,60,240,1,mouse,0,1782866748563,1782866749564,1001
3,2,10,60,240,7,mouse,0,1782866749564,1782866750551,987
