iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,60,240,2,air_mouse,0,1782862866759,1782862872617,5858
1,1,10,60,240,6,air_mouse,0,1782862872617,1782862878119,5502
1,1,10,60,240,5,air_mouse,0,1782862878119,1782862880264,2145
1,1,10,60,240,8,air_mouse,0,1782862880264,1782862883373,3109
1,1,10,60,240,0,air_mouse,0,1782862883373,1782862888586,5213
1,1,10,60,240,3,air_mouse,0,1782862888586,1782862890793,2207
1,1,10,60,240,4,air_mouse,0,1782862890793,1782862892969,2176
1,1,10,60,240,7,air_mouse,0,1782862892969,1782862895418,2449
1,1,10,60,240,1,air_mouse,0,1782862895418,1782862900384,4966
1,1,10,60,240,9,air_mouse,0,1782862900384,1782862902030,1646
2,1,10,60,240,7,air_mouse,0,1782862903685,1782862906429,2744
2,1,10,60,240,1,air_mouse,0,1782862906429,1782862918741,12312
2,1,10,60,240,5,air_mouse,0,1782862918741,1782862921734,2993
2,1,10,60,240,2,air_mouse,0,1782862921734,1782862930003,8269
2,1,10,60,240,3,air_mouse,0,1782862930003,1782862932394,2391
2,1,10,60,240,9,air_mouse,0,1782862932394,1782862936676,4282
2,1,10,60,240,4,air_mouse,0,1782862936676,1782862941111,4435
2,1,10,60,240,6,air_mouse,0,1782862941111,1782862945751,4640
2,1,10,60,240,8,air_mouse,0,1782862945751,1782862949094,3343
2,1,10,60,240,0,air_mouse,0,1782862949094,1782862952151,3057
3,1,10,60,240,1,air_mouse,0,1782862953352,1782862955546,2194
3,1,10,60,240,2,air_mouse,0,1782862955546,1782862963582,8036
3,1,10,60,240,3,air_mouse,0,1782862963582,1782862966220,2638
3,1,10,60,240,8,air_mouse,0,1782862966220,1782862969398,3178
3,1,10,60,240,0,air_mouse,0,1782862969398,1782862971765,2367
3,1,10,60,240,5,air_mouse,0,1782862971765,1782862974381,2616
3,1,10,60,240,9,air_mouse,0,1782862974381,1782862976182,1801
3,1,10,60,240,4,air_mouse,0,1782862976182,1782862982135,5953
3,1,10,60,240,6,air_mouse,0,1782862982135,1782862985803,3668
3,1,10,60,240,7,air_mouse,0,1782862985803,1782862988310,2507
