iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,3,10,90,320,5,mouse_latency,150,1782856135937,1782856136745,808
1,3,10,90,320,1,mouse_latency,150,1782856136745,1782856138009,1264
1,3,10,90,320,7,mouse_latency,150,1782856138009,1782856139517,1508
1,3,10,90,320,2,mouse_latency,150,1782856139517,1782856140482,965
1,3,10,90,320,4,mouse_latency,150,1782856140482,1782856141413,931
1,3,10,90,320,3,mouse_latency,150,1782856141413,1782856142156,743
1,3,10,90,320,8,mouse_latency,150,1782856142156,1782856142977,821
1,3,10,90,320,0,mouse_latency,150,1782856142977,1782856144153,1176
1,3,10,90,320,6,mouse_latency,150,1782856144153,1782856145117,964
1,3,10,90,320,9,mouse_latency,150,1782856145117,1782856146018,901
2,3,10,90,320,8,mouse_latency,150,1782856147183,1782856148088,905
2,3,10,90,320,2,mouse_latency,150,1782856148088,1782856149210,1122
2,3,10,90,320,7,mouse_latency,150,1782856149210,1782856150254,1044
2,3,10,90,320,3,mouse_latency,150,1782856150254,1782856151767,1513
2,3,10,90,320,9,mouse_latency,150,1782856151767,1782856152823,1056
2,3,10,90,320,6,mouse_latency,150,1782856152823,1782856153738,915
2,3,10,90,320,1,mouse_latency,150,1782856153738,1782856154849,1111
2,3,10,90,320,0,mouse_latency,150,1782856154849,1782856155627,778
2,3,10,90,320,4,mouse_latency,150,1782856155627,1782856156588,961
2,3,10,90,320,5,mouse_latency,150,1782856156588,1782856157926,1338
3,3,10,90,320,8,mouse_latency,150,1782856159108,1782856159874,766
3,3,10,90,320,6,mouse_latency,150,1782856159874,1782856160770,896
3,3,10,90,320,2,mouse_latency,150,1782856160770,1782856162462,1692
3,3,10,90,320,1,mouse_latency,150,1782856162462,1782856163290,828
3,3,10,90,320,3,mouse_latency,150,1782856163290,1782856164171,881
3,3,10,90,320,0,mouse_latency,150,1782856164171,1782856164965,794
3,3,10,90,320,7,mouse_latency,150,1782856164965,1782856165843,878
3,3,10,90,320,5,mouse_latency,150,1782856165843,1782856166647,804
3,3,10,90,320,4,mouse_latency,150,1782856166647,1782856167384,737
3,3,10,90,320,9,mouse_latency,150,1782856167384,1782856168632,1248
