iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,90,240,4,mouse,0,1782857725371,1782857726222,851
1,1,10,90,240,5,mouse,0,1782857726222,1782857727288,1066
1,1,10,90,240,8,mouse,0,1782857727288,1782857728308,1020
1,1,10,90,240,6,mouse,0,1782857728308,1782857729322,1014
1,1,10,90,240,0,mouse,0,1782857729322,1782857730171,849
1,1,10,90,240,2,mouse,0,1782857730171,1782857732254,2083
1,1,10,90,240,3,mouse,0,1782857732254,1782857733493,1239
1,1,10,90,240,9,mouse,0,1782857733493,1782857734871,1378
1,1,10,90,240,7,mouse,0,1782857734871,1782857735921,1050
1,1,10,90,240,1,mouse,0,1782857735921,1782857736797,876
2,1,10,90,240,8,mouse,0,1782857737662,1782857738862,1200
2,1,10,90,240,2,mouse,0,1782857738862,1782857739831,969
2,1,10,90,240,1,mouse,0,1782857739831,1782857740871,1040
2,1,10,90,240,7,mouse,0,1782857740871,1782857742322,1451
2,1,10,90,240,4,mouse,0,1782857742322,1782857743571,1249
2,1,10,90,240,3,mouse,0,1782857743571,1782857744446,875
2,1,10,90,240,5,mouse,0,1782857744446,1782857745763,1317
2,1,10,90,240,9,mouse,0,1782857745763,1782857746770,1007
2,1,10,90,240,6,mouse,0,1782857746770,1782857747726,956
2,1,10,90,240,0,mouse,0,1782857747726,1782857748862,1136
3,1,10,90,240,1,mouse,0,1782857749536,1782857750296,760
3,1,10,90,240,6,mouse,0,1782857750296,1782857751392,1096
3,1,10,90,240,3,mouse,0,1782857751392,1782857752648,1256
3,1,10,90,240,5,mouse,0,1782857752648,1782857753638,990
3,1,10,90,240,2,mouse,0,1782857753638,1782857754837,1199
3,1,10,90,240,8,mouse,0,1782857754837,1782857755976,1139
3,1,10,90,240,9,mouse,0,1782857755976,1782857756816,840
3,1,10,90,240,0,mouse,0,1782857756816,1782857757682,866
3,1,10,90,240,4,mouse,0,1782857757682,1782857758987,1305
3,1,10,90,240,7,mouse,0,1782857758987,1782857760096,1109
