iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,90,240,9,air_mouse,0,1782869779022,1782869783144,4122
1,2,10,90,240,0,air_mouse,0,1782869783144,1782869786613,3469
1,2,10,90,240,2,air_mouse,0,1782869786613,1782869789714,3101
1,2,10,90,240,3,air_mouse,0,1782869789714,1782869792592,2878
1,2,10,90,240,6,air_mouse,0,1782869792592,1782869796407,3815
1,2,10,90,240,8,air_mouse,0,1782869796407,1782869798678,2271
1,2,10,90,240,7,air_mouse,0,1782869798678,1782869800773,2095
1,2,10,90,240,5,air_mouse,0,1782869800773,1782869803726,2953
1,2,10,90,240,4,air_mouse,0,1782869803726,1782869806406,2680
1,2,10,90,240,1,air_mouse,0,1782869806406,1782869809958,3552
2,2,10,90,240,1,air_mouse,0,1782869810973,1782869813581,2608
2,2,10,90,240,3,air_mouse,0,1782869813581,1782869817373,3792
2,2,10,90,240,5,air_mouse,0,1782869817373,1782869820495,3122
2,2,10,90,240,2,air_mouse,0,1782869820495,1782869825649,5154
2,2,10,90,240,0,air_mouse,0,1782869825649,1782869828565,2916
2,2,10,90,240,8,air_mouse,0,1782869828565,1782869831864,3299
2,2,10,90,240,4,air_mouse,0,1782869831864,1782869836176,4312
2,2,10,90,240,9,air_mouse,0,1782869836176,1782869839727,3551
2,2,10,90,240,6,air_mouse,0,1782869839727,1782869844697,4970
2,2,10,90,240,7,air_mouse,0,1782869844697,1782869847225,2528
3,2,10,90,240,4,air_mouse,0,1782869848930,1782869851264,2334
3,2,10,90,240,8,air_mouse,0,1782869851264,1782869853546,2282
3,2,10,90,240,1,air_mouse,0,1782869853546,1782869854997,1451
3,2,10,90,240,9,air_mouse,0,1782869854997,1782869857881,2884
3,2,10,90,240,5,air_mouse,0,1782869857881,1782869860874,2993
3,2,10,90,240,2,air_mouse,0,1782869860874,1782869864540,3666
3,2,10,90,240,3,air_mouse,0,1782869864540,1782869868662,4122
3,2,10,90,240,6,air_mouse,0,1782869868662,1782869873164,4502
3,2,10,90,240,0,air_mouse,0,1782869873164,1782869876651,3487
3,2,10,90,240,7,air_mouse,0,1782869876651,1782869878648,1997
