iteration,pid,path_length,path_width,condition,latency_ms,error_count,t_start_ms,t_end_ms,duration_ms
1,3,400,90,mouse_latency,150,0,1782856703103,1782856704079,976
2,3,400,90,mouse_latency,150,1,1782856706480,1782856707684,1204
3,3,400,90,mouse_latency,150,0,1782856708951,1782856709544,593
