iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,3,10,60,240,5,mouse,0,1782854328708,1782854329320,612
1,3,10,60,240,6,mouse,0,1782854329320,1782854330046,726
1,3,10,60,240,8,mouse,0,1782854330046,1782854330686,640
1,3,10,60,240,1,mouse,0,1782854330686,1782854331387,701
1,3,10,60,240,7,mouse,0,1782854331387,1782854332085,698
1,3,10,60,240,3,mouse,0,1782854332085,1782854332927,842
1,3,10,60,240,2,mouse,0,1782854332927,1782854333493,566
1,3,10,60,240,9,mouse,0,1782854333493,1782854334564,1071
1,3,10,60,240,4,mouse,0,1782854334564,1782854335256,692
1,3,10,60,240,0,mouse,0,1782854335256,1782854336046,790
2,3,10,60,240,9,mouse,0,1782854336779,1782854337547,768
2,3,10,60,240,4,mouse,0,1782854337547,1782854338205,658
2,3,10,60,240,2,mouse,0,1782854338205,1782854338904,699
2,3,10,60,240,5,mouse,0,1782854338904,1782854339557,653
2,3,10,60,240,7,mouse,0,1782854339557,1782854340139,582
2,3,10,60,240,6,mouse,0,1782854340139,1782854341007,868
2,3,10,60,240,0,mouse,0,1782854341007,1782854341769,762
2,3,10,60,240,1,mouse,0,1782854341769,1782854342392,623
2,3,10,60,240,8,mouse,0,1782854342392,1782854343225,833
2,3,10,60,240,3,mouse,0,1782854343225,1782854343933,708
3,3,10,60,240,3,mouse,0,1782854344682,1782854345318,636
3,3,10,60,240,1,mouse,0,1782854345318,1782854345965,647
3,3,10,60,240,4,mouse,0,1782854345965,1782854346609,644
3,3,10,60,240,6,mouse,0,1782854346609,1782854347221,612
3,3,10,60,240,8,mouse,0,1782854347221,1782854347849,628
3,3,10,60,240,0,mouse,0,1782854347849,1782854348588,739
3,3,10,60,240,7,mouse,0,1782854348588,1782854349257,669
3,3,10,60,240,2,mouse,0,1782854349257,1782854350030,773
3,3,10,60,240,5,mouse,0,1782854350030,1782854350991,961
3,3,10,60,240,9,mouse,0,1782854350991,1782854351804,813
