iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,3,10,60,160,7,air_mouse,0,1782855040426,1782855041387,961
1,3,10,60,160,9,air_mouse,0,1782855041387,1782855042649,1262
1,3,10,60,160,1,air_mouse,0,1782855042649,1782855044091,1442
1,3,10,60,160,4,air_mouse,0,1782855044091,1782855045178,1087
1,3,10,60,160,6,air_mouse,0,1782855045178,1782855046526,1348
1,3,10,60,160,8,air_mouse,0,1782855046526,1782855047849,1323
1,3,10,60,160,3,air_mouse,0,1782855047849,1782855049257,1408
1,3,10,60,160,0,air_mouse,0,1782855049257,1782855050555,1298
1,3,10,60,160,2,air_mouse,0,1782855050555,1782855052733,2178
1,3,10,60,160,5,air_mouse,0,1782855052733,1782855053977,1244
2,3,10,60,160,6,air_mouse,0,1782855059711,1782855061067,1356
2,3,10,60,160,3,air_mouse,0,1782855061067,1782855062763,1696
2,3,10,60,160,7,air_mouse,0,1782855062763,1782855065180,2417
2,3,10,60,160,9,air_mouse,0,1782855065180,1782855066361,1181
2,3,10,60,160,1,air_mouse,0,1782855066361,1782855067528,1167
2,3,10,60,160,5,air_mouse,0,1782855067528,1782855068649,1121
2,3,10,60,160,8,air_mouse,0,1782855068649,1782855070109,1460
2,3,10,60,160,0,air_mouse,0,1782855070109,1782855071322,1213
2,3,10,60,160,4,air_mouse,0,1782855071322,1782855072650,1328
2,3,10,60,160,2,air_mouse,0,1782855072650,1782855074268,1618
3,3,10,60,160,2,air_mouse,0,1782855081355,1782855083096,1741
3,3,10,60,160,3,air_mouse,0,1782855083096,1782855083931,835
3,3,10,60,160,1,air_mouse,0,1782855083931,1782855085066,1135
3,3,10,60,160,6,air_mouse,0,1782855085066,1782855086441,1375
3,3,10,60,160,9,air_mouse,0,1782855086441,1782855087687,1246
3,3,10,60,160,8,air_mouse,0,1782855087687,1782855088733,1046
3,3,10,60,160,4,air_mouse,0,1782855088733,1782855090107,1374
3,3,10,60,160,5,air_mouse,0,1782855090107,1782855091089,982
3,3,10,60,160,0,air_mouse,0,1782855091089,1782855092170,1081
3,3,10,60,160,7,air_mouse,0,1782855092170,1782855093530,1360
