iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,60,240,9,mouse,0,1782857587264,1782857588483,1219
1,1,10,60,240,2,mouse,0,1782857588483,1782857589578,1095
1,1,10,60,240,4,mouse,0,1782857589578,1782857590718,1140
1,1,10,60,240,0,mouse,0,1782857590718,1782857591604,886
1,1,10,60,240,5,mouse,0,1782857591604,1782857592579,975
1,1,10,60,240,1,mouse,0,1782857592579,1782857593787,1208
1,1,10,60,240,6,mouse,0,1782857593787,1782857594861,1074
1,1,10,60,240,8,mouse,0,1782857594861,1782857595991,1130
1,1,10,60,240,3,mouse,0,1782857595991,1782857597186,1195
1,1,10,60,240,7,mouse,0,1782857597186,1782857598346,1160
2,1,10,60,240,7,mouse,0,1782857599298,1782857600523,1225
2,1,10,60,240,0,mouse,0,1782857600523,1782857602068,1545
2,1,10,60,240,4,mouse,0,1782857602068,1782857603589,1521
2,1,10,60,240,2,mouse,0,1782857603589,1782857604551,962
2,1,10,60,240,1,mouse,0,1782857604551,1782857605419,868
2,1,10,60,240,9,mouse,0,1782857605419,1782857606403,984
2,1,10,60,240,8,mouse,0,1782857606403,1782857607206,803
2,1,10,60,240,6,mouse,0,1782857607206,1782857608214,1008
2,1,10,60,240,3,mouse,0,1782857608214,1782857609328,1114
2,1,10,60,240,5,mouse,0,1782857609328,1782857610385,1057
3,1,10,60,240,2,mouse,0,1782857611284,1782857612219,935
3,1,10,60,240,6,mouse,0,1782857612219,1782857613318,1099
3,1,10,60,240,8,mouse,0,1782857613318,1782857614148,830
3,1,10,60,240,7,mouse,0,1782857614148,1782857615011,863
3,1,10,60,240,5,mouse,0,1782857615011,1782857616466,1455
3,1,10,60,240,4,mouse,0,1782857616466,1782857617989,1523
3,1,10,60,240,9,mouse,0,1782857617989,1782857619040,1051
3,1,10,60,240,0,mouse,0,1782857619040,1782857619932,892
3,1,10,60,240,1,mouse,0,1782857619932,1782857620970,1038
3,1,10,60,240,3,mouse,0,1782857620970,1782857621953,983
