iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,40,240,5,mouse,0,1782857439662,1782857441048,1386
1,1,10,40,240,4,mouse,0,1782857441048,1782857441936,888
1,1,10,40,240,1,mouse,0,1782857441936,1782857443236,1300
1,1,10,40,240,7,mouse,0,1782857443236,1782857444571,1335
1,1,10,40,240,8,mouse,0,1782857444571,1782857445591,1020
1,1,10,40,240,0,mouse,0,1782857445591,1782857447083,1492
1,1,10,40,240,3,mouse,0,1782857447083,1782857447979,896
1,1,10,40,240,9,mouse,0,1782857447979,1782857449214,1235
1,1,10,40,240,2,mouse,0,1782857449214,1782857450301,1087
1,1,10,40,240,6,mouse,0,1782857450301,1782857451547,1246
2,1,10,40,240,2,mouse,0,1782857453083,1782857455501,2418
2,1,10,40,240,9,mouse,0,1782857455501,1782857457324,1823
2,1,10,40,240,8,mouse,0,1782857457324,1782857458386,1062
2,1,10,40,240,3,mouse,0,1782857458386,1782857459698,1312
2,1,10,40,240,1,mouse,0,1782857459698,1782857460787,1089
2,1,10,40,240,4,mouse,0,1782857460787,1782857461800,1013
2,1,10,40,240,5,mouse,0,1782857461800,1782857462829,1029
2,1,10,40,240,7,mouse,0,1782857462829,1782857464026,1197
2,1,10,40,240,6,mouse,0,1782857464026,1782857465818,1792
2,1,10,40,240,0,mouse,0,1782857465818,1782857466913,1095
3,1,10,40,240,8,mouse,0,1782857467887,1782857469117,1230
3,1,10,40,240,9,mouse,0,1782857469117,1782857471230,2113
3,1,10,40,240,2,mouse,0,1782857471230,1782857472554,1324
3,1,10,40,240,7,mouse,0,1782857472554,1782857474167,1613
3,1,10,40,240,5,mouse,0,1782857474167,1782857475937,1770
3,1,10,40,240,3,mouse,0,1782857475937,1782857477263,1326
3,1,10,40,240,1,mouse,0,1782857477263,1782857478608,1345
3,1,10,40,240,6,mouse,0,1782857478608,1782857480011,1403
3,1,10,40,240,0,mouse,0,1782857480011,1782857481261,1250
3,1,10,40,240,4,mouse,0,1782857481261,1782857482467,1206
