iteration,pid,path_length,path_width,condition,latency_ms,error_count,t_start_ms,t_end_ms,duration_ms
1,2,250,60,mouse,0,0,1782866870826,1782866871090,264
2,2,250,60,mouse,0,0,1782866872370,1782866872811,441
3,2,250,60,mouse,0,0,1782866873721,1782866873867,146
