iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,40,320,3,mouse,0,1782866646177,1782866647015,838
1,2,10,40,320,4,mouse,0,1782866647015,1782866647896,881
1,2,10,40,320,9,mouse,0,1782866647896,1782866649290,1394
1,2,10,40,320,0,mouse,0,1782866649290,1782866650169,879
1,2,10,40,320,1,mouse,0,1782866650169,1782866651198,1029
1,2,10,40,320,7,mouse,0,1782866651198,1782866653064,1866
1,2,10,40,320,6,mouse,0,1782866653064,1782866654212,1148
1,2,10,40,320,8,mouse,0,1782866654212,1782866655607,1395
1,2,10,40,320,2,mouse,0,1782866655607,1782866656821,1214
1,2,10,40,320,5,mouse,0,1782866656821,1782866658126,1305
2,2,10,40,320,3,mouse,0,1782866659003,1782866659891,888
2,2,10,40,320,1,mouse,0,1782866659891,1782866661053,1162
2,2,10,40,320,9,mouse,0,1782866661053,1782866662058,1005
2,2,10,40,320,0,mouse,0,1782866662058,1782866663112,1054
2,2,10,40,320,2,mouse,0,1782866663112,1782866664520,1408
2,2,10,40,320,8,mouse,0,1782866664520,1782866666233,1713
2,2,10,40,320,6,mouse,0,1782866666233,1782866667155,922
2,2,10,40,320,5,mouse,0,1782866667155,1782866668496,1341
2,2,10,40,320,7,mouse,0,1782866668496,1782866669664,1168
2,2,10,40,320,4,mouse,0,1782866669664,1782866670761,1097
3,2,10,40,320,4,mouse,0,1782866671661,1782866672511,850
3,2,10,40,320,0,mouse,0,1782866672511,1782866674155,1644
3,2,10,40,320,8,mouse,0,1782866674155,1782866675698,1543
3,2,10,40,320,7,mouse,0,1782866675698,1782866677079,1381
3,2,10,40,320,3,mouse,0,1782866677079,1782866678399,1320
3,2,10,40,320,6,mouse,0,1782866678399,1782866679460,1061
3,2,10,40,320,2,mouse,0,1782866679460,1782866680432,972
3,2,10,40,320,5,mouse,0,1782866680432,1782866681588,1156
3,2,10,40,320,9,mouse,0,1782866681588,1782866682804,1216
3,2,10,40,320,1,mouse,0,1782866682804,1782866683927,1123
