iteration,pid,path_length,path_width,condition,latency_ms,error_count,t_start_ms,t_end_ms,duration_ms
1,1,250,90,air_mouse,0,0,1782863648615,1782863650048,1433
2,1,250,90,air_mouse,0,0,1782863651595,1782863652388,793
3,1,250,90,air_mouse,0,0,1782863655618,1782863656764,1146
