iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,90,240,5,mouse,0,1782866825560,1782866826427,867
1,2,10,90,240,2,mouse,0,1782866826427,1782866827503,1076
1,2,10,90,240,1,mouse,0,1782866827503,1782866828579,1076
1,2,10,90,240,4,mouse,0,1782866828579,1782866829547,968
1,2,10,90,240,8,mouse,0,1782866829547,1782866830627,1080
1,2,10,90,240,6,mouse,0,1782866830627,1782866831395,768
1,2,10,90,240,7,mouse,0,1782866831395,1782866832106,711
1,2,10,90,240,9,mouse,0,1782866832106,1782866832862,756
1,2,10,90,240,0,mouse,0,1782866832862,1782866833856,994
1,2,10,90,240,3,mouse,0,1782866833856,1782866834912,1056
2,2,10,90,240,8,mouse,0,1782866835951,1782866836976,1025
2,2,10,90,240,0,mouse,0,1782866836976,1782866837861,885
2,2,10,90,240,6,mouse,0,1782866837861,1782866838723,862
2,2,10,90,240,4,mouse,0,1782866838723,1782866840084,1361
2,2,10,90,240,9,mouse,0,1782866840084,1782866841092,1008
2,2,10,90,240,5,mouse,0,1782866841092,1782866842130,1038
2,2,10,90,240,1,mouse,0,1782866842130,1782866843038,908
2,2,10,90,240,7,mouse,0,1782866843038,1782866844017,979
2,2,10,90,240,2,mouse,0,1782866844017,1782866844987,970
2,2,10,90,240,3,mouse,0,1782866844987,1782866845737,750
3,2,10,90,240,7,mouse,0,1782866846614,1782866847507,893
3,2,10,90,240,5,mouse,0,1782866847507,1782866848317,810
3,2,10,90,240,6,mouse,0,1782866848317,1782866849217,900
3,2,10,90,240,3,mouse,0,1782866849217,1782866849992,775
3,2,10,90,240,4,mouse,0,1782866849992,1782866850687,695
3,2,10,90,240,8,mouse,0,1782866850687,1782866851541,854
3,2,10,90,240,2,mouse,0,1782866851541,1782866852321,780
3,2,10,90,240,9,mouse,0,1782866852321,1782866853281,960
3,2,10,90,240,0,mouse,0,1782866853281,1782866853928,647
3,2,10,90,240,1,mouse,0,1782866853928,1782866854446,518
