iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,90,160,3,mouse,0,1782866795443,1782866796364,921
1,2,10,90,160,6,mouse,0,1782866796364,1782866797126,762
1,2,10,90,160,9,mouse,0,1782866797126,1782866797769,643
1,2,10,90,160,4,mouse,0,1782866797769,1782866798531,762
1,2,10,90,160,2,mouse,0,1782866798531,1782866799190,659
1,2,10,90,160,0,mouse,0,1782866799190,1782866799889,699
1,2,10,90,160,8,mouse,0,1782866799889,1782866800474,585
1,2,10,90,160,7,mouse,0,1782866800474,1782866801324,850
1,2,10,90,160,1,mouse,0,1782866801324,1782866802220,896
1,2,10,90,160,5,mouse,0,1782866802220,1782866802927,707
2,2,10,90,160,9,mouse,0,1782866803675,1782866804556,881
2,2,10,90,160,0,mouse,0,1782866804556,1782866805401,845
2,2,10,90,160,4,mouse,0,1782866805401,1782866806250,849
2,2,10,90,160,1,mouse,0,1782866806250,1782866807080,830
2,2,10,90,160,6,mouse,0,1782866807080,1782866807982,902
2,2,10,90,160,7,mouse,0,1782866807982,1782866808889,907
2,2,10,90,160,5,mouse,0,1782866808889,1782866809810,921
2,2,10,90,160,8,mouse,0,1782866809810,1782866810697,887
2,2,10,90,160,2,mouse,0,1782866810697,1782866811544,847
2,2,10,90,160,3,mouse,0,1782866811544,1782866812255,711
3,2,10,90,160,3,mouse,0,1782866812891,1782866813586,695
3,2,10,90,160,4,mouse,0,1782866813586,1782866814265,679
3,2,10,90,160,9,mouse,0,1782866814265,1782866815129,864
3,2,10,90,160,2,mouse,0,1782866815129,1782866816027,898
3,2,10,90,160,7,mouse,0,1782866816027,1782866816875,848
3,2,10,90,160,6,mouse,0,1782866816875,1782866817748,873
3,2,10,90,160,1,mouse,0,1782866817748,1782866818636,888
3,2,10,90,160,0,mouse,0,1782866818636,1782866819430,794
3,2,10,90,160,5,mouse,0,1782866819430,1782866820365,935
3,2,10,90,160,8,mouse,0,1782866820365,1782866821024,659
