iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,60,320,6,mouse,0,1782857629195,1782857630379,1184
1,1,10,60,320,3,mouse,0,1782857630379,1782857631624,1245
1,1,10,60,320,5,mouse,0,1782857631624,1782857632723,1099
1,1,10,60,320,2,mouse,0,1782857632723,1782857633919,1196
1,1,10,60,320,4,mouse,0,1782857633919,1782857635196,1277
1,1,10,60,320,1,mouse,0,1782857635196,1782857636350,1154
1,1,10,60,320,9,mouse,0,1782857636350,1782857637476,1126
1,1,10,60,320,8,mouse,0,1782857637476,1782857638609,1133
1,1,10,60,320,7,mouse,0,1782857638609,1782857639680,1071
1,1,10,60,320,0,mouse,0,1782857639680,1782857640927,1247
2,1,10,60,320,6,mouse,0,1782857641812,1782857642980,1168
2,1,10,60,320,2,mouse,0,1782857642980,1782857644377,1397
2,1,10,60,320,5,mouse,0,1782857644377,1782857645491,1114
2,1,10,60,320,8,mouse,0,1782857645491,1782857646745,1254
2,1,10,60,320,9,mouse,0,1782857646745,1782857647886,1141
2,1,10,60,320,7,mouse,0,1782857647886,1782857648923,1037
2,1,10,60,320,3,mouse,0,1782857648923,1782857650024,1101
2,1,10,60,320,4,mouse,0,1782857650024,1782857650961,937
2,1,10,60,320,0,mouse,0,1782857650961,1782857651898,937
2,1,10,60,320,1,mouse,0,1782857651898,1782857653030,1132
3,1,10,60,320,9,mouse,0,1782857653874,1782857654710,836
3,1,10,60,320,5,mouse,0,1782857654710,1782857655924,1214
3,1,10,60,320,4,mouse,0,1782857655924,1782857657254,1330
3,1,10,60,320,6,mouse,0,1782857657254,1782857658460,1206
3,1,10,60,320,2,mouse,0,1782857658460,1782857659618,1158
3,1,10,60,320,7,mouse,0,1782857659618,1782857660719,1101
3,1,10,60,320,0,mouse,0,1782857660719,1782857661708,989
3,1,10,60,320,1,mouse,0,1782857661708,1782857662503,795
3,1,10,60,320,8,mouse,0,1782857662503,1782857663430,927
3,1,10,60,320,3,mouse,0,1782857663430,1782857664813,1383
