iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,60,160,1,touchpad,0,1782867399043,1782867400059,1016
1,2,10,60,160,0,touchpad,0,1782867400059,1782867400976,917
1,2,10,60,160,5,touchpad,0,1782867400976,1782867401851,875
1,2,10,60,160,6,touchpad,0,1782867401851,1782867402542,691
1,2,10,60,160,8,touchpad,0,1782867402542,1782867403260,718
1,2,10,60,160,3,touchpad,0,1782867403260,1782867404126,866
1,2,10,60,160,4,touchpad,0,1782867404126,1782867404898,772
1,2,10,60,160,2,touchpad,0,1782867404898,1782867405685,787
1,2,10,60,160,7,touchpad,0,1782867405685,1782867406576,891
1,2,10,60,160,9,touchpad,0,1782867406576,1782867407452,876
2,2,10,60,160,9,touchpad,0,1782867408059,1782867408893,834
2,2,10,60,160,4,touchpad,0,1782867408893,1782867409793,900
2,2,10,60,160,0,touchpad,0,1782867409793,1782867410799,1006
2,2,10,60,160,6,touchpad,0,1782867410799,1782867411609,810
2,2,10,60,160,8,touchpad,0,1782867411609,1782867412783,1174
2,2,10,60,160,1,touchpad,0,1782867412783,1782867413732,949
2,2,10,60,160,2,touchpad,0,1782867413732,1782867414680,948
2,2,10,60,160,5,touchpad,0,1782867414680,1782867415581,901
2,2,10,60,160,7,touchpad,0,1782867415581,1782867416351,770
2,2,10,60,160,3,touchpad,0,1782867416351,1782867417165,814
3,2,10,60,160,1,touchpad,0,1782867417793,1782867419060,1267
3,2,10,60,160,8,touchpad,0,1782867419060,1782867420013,953
3,2,10,60,160,6,touchpad,0,1782867420013,1782867420776,763
3,2,10,60,160,9,touchpad,0,1782867420776,1782867421660,884
3,2,10,60,160,7,touchpad,0,1782867421660,1782867422560,900
3,2,10,60,160,0,touchpad,0,1782867422560,1782867423397,837
3,2,10,60,160,4,touchpad,0,1782867423397,1782867424267,870
3,2,10,60,160,3,touchpad,0,1782867424267,1782867424980,713
3,2,10,60,160,5,touchpad,0,1782867424980,1782867425793,813
3,2,10,60,160,2,touchpad,0,1782867425793,1782867426643,850
