iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,60,160,5,mouse_latency,150,1782868021548,1782868023221,1673
1,2,10,60,160,6,mouse_latency,150,1782868023221,1782868024151,930
1,2,10,60,160,9,mouse_latency,150,1782868024151,1782868025410,1259
1,2,10,60,160,7,mouse_latency,150,1782868025410,1782868026768,1358
1,2,10,60,160,4,mouse_latency,150,1782868026768,1782868028435,1667
1,2,10,60,160,1,mouse_latency,150,1782868028435,1782868029836,1401
1,2,10,60,160,0,mouse_latency,150,1782868029836,1782868030841,1005
1,2,10,60,160,3,mouse_latency,150,1782868030841,1782868032345,1504
1,2,10,60,160,8,mouse_latency,150,1782868032345,1782868033818,1473
1,2,10,60,160,2,mouse_latency,150,1782868033818,1782868035275,1457
2,2,10,60,160,2,mouse_latency,150,1782868036443,1782868037576,1133
2,2,10,60,160,9,mouse_latency,150,1782868037576,1782868038901,1325
2,2,10,60,160,0,mouse_latency,150,1782868038901,1782868040117,1216
2,2,10,60,160,3,mouse_latency,150,1782868040117,1782868041468,1351
2,2,10,60,160,1,mouse_latency,150,1782868041468,1782868043186,1718
2,2,10,60,160,4,mouse_latency,150,1782868043186,1782868044612,1426
2,2,10,60,160,6,mouse_latency,150,1782868044612,1782868045806,1194
2,2,10,60,160,7,mouse_latency,150,1782868045806,1782868046670,864
2,2,10,60,160,5,mouse_latency,150,1782868046670,1782868048214,1544
2,2,10,60,160,8,mouse_latency,150,1782868048214,1782868049386,1172
3,2,10,60,160,7,mouse_latency,150,1782868050147,1782868051366,1219
3,2,10,60,160,5,mouse_latency,150,1782868051366,1782868052351,985
3,2,10,60,160,9,mouse_latency,150,1782868052351,1782868053477,1126
3,2,10,60,160,1,mouse_latency,150,1782868053477,1782868054772,1295
3,2,10,60,160,8,mouse_latency,150,1782868054772,1782868055970,1198
3,2,10,60,160,2,mouse_latency,150,1782868055970,1782868057235,1265
3,2,10,60,160,4,mouse_latency,150,1782868057235,1782868058067,832
3,2,10,60,160,3,mouse_latency,150,1782868058067,1782868059072,1005
3,2,10,60,160,6,mouse_latency,150,1782868059072,1782868060378,1306
3,2,10,60,160,0,mouse_latency,150,1782868060378,1782868061551,1173
