iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,3,10,60,320,2,mouse,0,1782854367005,1782854368079,1074
1,3,10,60,320,5,mouse,0,1782854368079,1782854369103,1024
1,3,10,60,320,4,mouse,0,1782854369103,1782854369751,648
1,3,10,60,320,8,mouse,0,1782854369751,1782854370619,868
1,3,10,60,320,1,mouse,0,1782854370619,1782854371288,669
1,3,10,60,320,3,mouse,0,1782854371288,1782854372295,1007
1,3,10,60,320,6,mouse,0,1782854372295,1782854373093,798
1,3,10,60,320,7,mouse,0,1782854373093,1782854373783,690
1,3,10,60,320,0,mouse,0,1782854373783,1782854374459,676
1,3,10,60,320,9,mouse,0,1782854374459,1782854375118,659
2,3,10,60,320,7,mouse,0,1782854376689,1782854377614,925
2,3,10,60,320,2,mouse,0,1782854377614,1782854378386,772
2,3,10,60,320,8,mouse,0,1782854378386,1782854379156,770
2,3,10,60,320,0,mouse,0,1782854379156,1782854380011,855
2,3,10,60,320,6,mouse,0,1782854380011,1782854380882,871
2,3,10,60,320,1,mouse,0,1782854380882,1782854381704,822
2,3,10,60,320,9,mouse,0,1782854381704,1782854382546,842
2,3,10,60,320,4,mouse,0,1782854382546,1782854383500,954
2,3,10,60,320,5,mouse,0,1782854383500,1782854384299,799
2,3,10,60,320,3,mouse,0,1782854384299,1782854385120,821
3,3,10,60,320,8,mouse,0,1782854385959,1782854386804,845
3,3,10,60,320,2,mouse,0,1782854386804,1782854387664,860
3,3,10,60,320,7,mouse,0,1782854387664,1782854388914,1250
3,3,10,60,320,5,mouse,0,1782854388914,1782854390563,1649
3,3,10,60,320,3,mouse,0,1782854390563,1782854391267,704
3,3,10,60,320,4,mouse,0,1782854391267,1782854391946,679
3,3,10,60,320,1,mouse,0,1782854391946,1782854392671,725
3,3,10,60,320,6,mouse,0,1782854392671,1782854393589,918
3,3,10,60,320,9,mouse,0,1782854393589,1782854394341,752
3,3,10,60,320,0,mouse,0,1782854394341,1782854395274,933
