iteration,pid,path_length,path_width,condition,latency_ms,error_count,t_start_ms,t_end_ms,duration_ms
1,3,550,90,mouse,0,0,1782856256520,1782856257373,853
2,3,550,90,mouse,0,0,1782856258569,1782856259221,652
3,3,550,90,mouse,0,0,1782856260033,1782856260727,694
