iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,3,10,40,320,8,mouse_latency,150,1782855627076,1782855629010,1934
1,3,10,40,320,0,mouse_latency,150,1782855629010,1782855630236,1226
1,3,10,40,320,9,mouse_latency,150,1782855630236,1782855631263,1027
1,3,10,40,320,3,mouse_latency,150,1782855631263,1782855632916,1653
1,3,10,40,320,4,mouse_latency,150,1782855632916,1782855634047,1131
1,3,10,40,320,6,mouse_latency,150,1782855634047,1782855635638,1591
1,3,10,40,320,2,mouse_latency,150,1782855635638,1782855636952,1314
1,3,10,40,320,7,mouse_latency,150,1782855636952,1782855638106,1154
1,3,10,40,320,5,mouse_latency,150,1782855638106,1782855639545,1439
1,3,10,40,320,1,mouse_latency,150,1782855639545,1782855640872,1327
2,3,10,40,320,5,mouse_latency,150,1782855641940,1782855643161,1221
2,3,10,40,320,0,mouse_latency,150,1782855643161,1782855644397,1236
2,3,10,40,320,3,mouse_latency,150,1782855644397,1782855645525,1128
2,3,10,40,320,7,mouse_latency,150,1782855645525,1782855646892,1367
2,3,10,40,320,4,mouse_latency,150,1782855646892,1782855648070,1178
2,3,10,40,320,2,mouse_latency,150,1782855648070,1782855649191,1121
2,3,10,40,320,8,mouse_latency,150,1782855649191,1782855650373,1182
2,3,10,40,320,6,mouse_latency,150,1782855650373,1782855651520,1147
2,3,10,40,320,1,mouse_latency,150,1782855651520,1782855652954,1434
2,3,10,40,320,9,mouse_latency,150,1782855652954,1782855654726,1772
3,3,10,40,320,4,mouse_latency,150,1782855655632,1782855657710,2078
3,3,10,40,320,2,mouse_latency,150,1782855657710,1782855659063,1353
3,3,10,40,320,1,mouse_latency,150,1782855659063,1782855660335,1272
3,3,10,40,320,9,mouse_latency,150,1782855660335,1782855661985,1650
3,3,10,40,320,3,mouse_latency,150,1782855661985,1782855663599,1614
3,3,10,40,320,0,mouse_latency,150,1782855663599,1782855664971,1372
3,3,10,40,320,5,mouse_latency,150,1782855664971,1782855666627,1656
3,3,10,40,320,8,mouse_latency,150,1782855666627,1782855668038,1411
3,3,10,40,320,6,mouse_latency,150,1782855668038,1782855669358,1320
3,3,10,40,320,7,mouse_latency,150,1782855669358,1782855670598,1240
